epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
76,2786.54,0.41477,0.74552,0.15714,0.1603,0.00906,2.70339,0.98336,1,0.98664,0.92668,0.98336,1,0.99096,0.88515,0.41279,0.68993,0.1693,0.1813,0.01869,0,0.000515,0.000515,0.000515
77,2823.62,0.38554,0.77542,0.14947,0.15194,0.00847,2.51557,0.98837,0.98985,0.99232,0.91856,0.98837,0.98985,0.99253,0.88677,0.41724,0.69127,0.17478,0.1773,0.0189,0,0.0004952,0.0004952,0.0004952
78,2858.98,0.38145,0.7245,0.15839,0.16033,0.00834,2.54884,0.98495,0.99661,0.99262,0.92087,0.98495,0.99661,0.99361,0.88561,0.42965,0.6757,0.17165,0.17494,0.01955,0,0.0004754,0.0004754,0.0004754
79,2894.97,0.37318,0.68163,0.15908,0.15072,0.00828,2.53615,0.97859,1,0.98631,0.91143,0.97859,1,0.9893,0.88188,0.44427,0.68825,0.18115,0.18811,0.02017,0,0.0004556,0.0004556,0.0004556
80,2930.36,0.37846,0.69943,0.15999,0.15354,0.00838,2.55757,0.97885,1,0.98952,0.92427,0.97885,1,0.98952,0.87632,0.40466,0.7115,0.17705,0.1792,0.01839,0,0.0004358,0.0004358,0.0004358
81,2966.57,0.37964,0.67624,0.15153,0.14374,0.00851,2.48761,0.98978,0.98329,0.99256,0.93332,0.98978,0.98329,0.99161,0.88759,0.39592,0.69111,0.18209,0.17637,0.01795,0,0.000416,0.000416,0.000416
82,3001.79,0.37793,0.70621,0.15667,0.15067,0.00854,2.48498,0.97328,0.99492,0.98604,0.91727,0.97328,0.99492,0.98331,0.8753,0.43072,0.70143,0.18956,0.19093,0.01969,0,0.0003962,0.0003962,0.0003962
83,3037.67,0.3668,0.70825,0.15343,0.14892,0.00784,2.34281,0.98988,0.99332,0.99074,0.92958,0.98988,0.99332,0.99085,0.88748,0.4022,0.68284,0.162,0.17771,0.01827,0,0.0003764,0.0003764,0.0003764
84,3073.36,0.36921,0.64338,0.15817,0.13926,0.00802,2.26247,0.98916,1,0.99185,0.91515,0.98916,1,0.99257,0.88731,0.4501,0.68703,0.19302,0.17516,0.02052,0,0.0003566,0.0003566,0.0003566
85,3108.51,0.36697,0.65222,0.1499,0.14165,0.00796,2.46824,1,0.98376,0.99461,0.92994,0.99485,0.98121,0.99086,0.88446,0.41164,0.69725,0.19036,0.15385,0.01865,0,0.0003368,0.0003368,0.0003368
86,3143.72,0.36455,0.59616,0.15125,0.14131,0.00807,2.28462,0.98995,1,0.99073,0.91773,0.98995,1,0.99062,0.88774,0.43057,0.68321,0.15696,0.1696,0.01955,0,0.000317,0.000317,0.000317
87,3179.71,0.36376,0.61766,0.1497,0.14773,0.00772,2.23138,0.9899,1,0.99485,0.91833,0.9899,1,0.99087,0.88391,0.41908,0.68394,0.17935,0.15002,0.01894,0,0.0002972,0.0002972,0.0002972
88,3214.64,0.35973,0.65643,0.14836,0.14376,0.00781,2.26853,0.98994,0.99942,0.98746,0.92309,0.98994,0.99942,0.98646,0.88158,0.41279,0.68124,0.15476,0.17842,0.01874,0,0.0002774,0.0002774,0.0002774
89,3250.72,0.35056,0.68342,0.15757,0.13967,0.00769,2.32263,0.98994,0.99907,0.99085,0.92156,0.98994,0.99907,0.98994,0.88333,0.41211,0.68272,0.1663,0.17413,0.01869,0,0.0002576,0.0002576,0.0002576
90,3286.52,0.35711,0.64417,0.15575,0.14233,0.008,2.3636,0.98494,0.99573,0.99029,0.93047,0.98494,0.99573,0.9909,0.8856,0.41571,0.69445,0.17971,0.18468,0.01895,0,0.0002378,0.0002378,0.0002378
91,3390.96,0.35028,0.3774,0.17579,0.21968,0.01139,2.9212,0.98958,0.99492,0.98715,0.92598,0.98958,0.99492,0.99048,0.87512,0.39804,0.72067,0.19773,0.17371,0.01796,0,0.000218,0.000218,0.000218
92,3426.97,0.32378,0.34936,0.16619,0.12417,0.01037,2.60278,0.98995,0.9996,0.99103,0.93337,0.98995,0.9996,0.99346,0.8858,0.41588,0.69566,0.18654,0.18298,0.01871,0,0.0001982,0.0001982,0.0001982
93,3462.76,0.32501,0.34033,0.15038,0.11474,0.0101,2.45521,0.98341,0.99492,0.99146,0.93272,0.98341,0.99492,0.99348,0.88876,0.40431,0.698,0.15418,0.17716,0.01816,0,0.0001784,0.0001784,0.0001784
94,3498.29,0.3103,0.31946,0.14932,0.11016,0.00959,2.34809,0.98945,1,0.99249,0.93222,0.98945,1,0.99455,0.8887,0.40202,0.69149,0.13456,0.16804,0.01815,0,0.0001586,0.0001586,0.0001586
95,3533.67,0.30969,0.33016,0.14247,0.10476,0.00955,2.31355,0.98498,0.99865,0.99317,0.94033,0.98498,0.99865,0.99449,0.88924,0.38889,0.69495,0.15089,0.16886,0.0175,0,0.0001388,0.0001388,0.0001388
96,3570.72,0.31091,0.33386,0.15374,0.10908,0.00979,2.35616,0.98994,0.9991,0.99299,0.94229,0.98994,0.9991,0.99382,0.88803,0.37811,0.69651,0.1622,0.16137,0.01705,0,0.000119,0.000119,0.000119
97,3607.37,0.29277,0.31341,0.14351,0.1037,0.00912,2.21216,0.98994,0.99914,0.99361,0.93598,0.98994,0.99914,0.99397,0.8897,0.40494,0.69546,0.16094,0.16653,0.01833,0,9.92e-05,9.92e-05,9.92e-05
98,3643.77,0.29178,0.32111,0.15965,0.10694,0.00909,2.24255,0.99427,1,0.99369,0.94248,0.99427,1,0.99414,0.8918,0.39143,0.68859,0.17375,0.14746,0.01768,0,7.94e-05,7.94e-05,7.94e-05
99,3680.79,0.29608,0.30066,0.15098,0.09959,0.00935,2.166,0.9949,0.98956,0.99378,0.94299,0.9949,0.98956,0.9949,0.89094,0.39629,0.68927,0.16099,0.1601,0.01791,0,5.96e-05,5.96e-05,5.96e-05
100,3715.55,0.29434,0.3091,0.14381,0.10163,0.00921,2.02974,0.98988,0.99339,0.99382,0.94015,0.99322,0.99492,0.99495,0.89303,0.39695,0.68706,0.15311,0.16346,0.01796,0,3.98e-05,3.98e-05,3.98e-05
